,ROA,ROE,cash_flow,Annual_yield,Daily_yield,Max_withdraw,Var10,Var5,active_profit_annual,active_profit_daily,active_profit_total,active_risk,alpha,beta,downside_risk,total_yield,varance,win_rate,ind,news,clu
0,0.375,0.625,0.375,0.25,0.25,0.75,0.625,0.625,0.25,0.25,0.25,0.625,0.5,0.5,0.5,0.25,0.625,0.375,0.4230769230769231,2.0,2
1,0.6363636363636364,0.5227272727272727,0.6071428571428571,0.5974025974025974,0.5974025974025974,0.6233766233766234,0.6461038961038961,0.6136363636363636,0.5941558441558441,0.5941558441558441,0.5974025974025974,0.5681818181818182,0.5941558441558441,0.564935064935065,0.6396103896103896,0.6298701298701299,0.5811688311688312,0.5422077922077922,0.39939370973853744,1.826086956521739,2
2,0.4375,0.375,0.6875,0.625,0.625,0.5,0.9375,1.0,0.625,0.625,0.625,0.375,0.5625,0.3125,0.3125,0.5625,0.375,0.4375,0.6153846153846154,1.0,2
3,0.5,0.5,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.75,0.7142857142857143,0.6071428571428571,0.7142857142857143,0.7142857142857143,0.6785714285714286,0.5714285714285714,0.5357142857142857,0.75,0.6071428571428571,0.75,0.6071428571428571,0.5714285714285714,0.5915750915750916,5.0,1
4,0.5,0.25,0.25,0.75,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.75,0.75,0.5,0.75,1.0,0.75,1.0,0.16483516483516486,0.0,4
5,0.65,0.4583333333333333,0.6666666666666666,0.6583333333333333,0.6583333333333333,0.5666666666666667,0.75,0.6833333333333333,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.475,0.5166666666666667,0.7083333333333334,0.6166666666666667,0.675,0.5,0.6,0.4296703296703296,1.3333333333333333,4
6,0.25,0.25,0.75,0.75,0.75,0.25,1.0,1.0,0.75,0.75,0.75,0.25,0.5,0.25,0.25,0.75,0.25,0.25,0.7252747252747253,0.0,3
7,0.375,0.25,0.875,0.625,0.625,0.25,0.875,0.75,0.625,0.625,0.625,0.5,0.25,0.625,0.375,0.625,0.375,0.5,0.0989010989010989,2.0,2
8,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.75,0.8333333333333334,0.75,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.3333333333333333,0.5238095238095238,1.6666666666666667,2
9,0.5333333333333333,0.5333333333333333,0.7166666666666667,0.6666666666666666,0.6666666666666666,0.7,0.7333333333333333,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6833333333333333,0.6333333333333333,0.5,0.7166666666666667,0.5166666666666667,0.4833333333333333,0.43256743256743263,2.0,2
